Year,Region,kg,hr,,
2009,2,7074,36.4,,
2009,5,40,0.5,,
2010,2,12120,45.5,,
2010,3,120,1,,
2011,2,60680,196.7,,
2011,5,1730,9.5,,
2011,6,500,1.5,,
2011,7,748,4.7,,
2012,1,1200,3,,
2012,2,58895,188.7,,
2012,5,2150,9,,
2013,1,2800,9,,
2013,2,74754.5,258.2,,
2013,5,860,5,,
2013,6,800,4.7,,
2013,7,200,2.5,,
2014,2,92975,304.6,,
2014,3,220,4,,
2014,5,1550,7,,
2014,6,400,2,,
2014,7,200,3.5,,
2014,9,1200,6.1,,
2015,2,18351.5,89.4,,
2015,6,600,4,,
2015,8,30,1.5,,
2016,2,39347,177,,
2016,4,200,0.5,,
2016,5,100,0.5,,
2016,9,200,2,,
2017,2,41118,165.95,,
2017,4,85,1.5,,
2017,5,100,0.5,,
2017,9,100,1.33,,
2018,2,153378,577.15,,
2018,4,311,6.59,,
2018,5,19259,50,,
2018,6,921,5,,
2018,7,10302,50.75,,
2018,8,3145,23.5,,
2018,9,988,3.6,,
2019,1,4322,9.55,,
2019,2,408393,1411.25,,
2019,3,1850,5.5,,
2019,4,26,0.67,,
2019,5,26704,86.06,,
2019,6,42023,146.51,,
2019,7,66065.5,248.1,,
2019,8,1945,23,,
2019,9,8361,48.48,,
2020,1,3237,9.92,,
2020,2,132708,504.94,,
2020,5,77196,297.56,,
2020,6,38280,147.04,,
2020,7,71585,277.65,,
2020,8,13649,66.69,,
2020,9,23771.5,77.75,,
2021,1,1697,5.25,,
2021,2,233068,838.06,,
2021,3,160,4.58,,
2021,4,900,3,,
2021,5,87163,320.7,,
2021,6,69692,284.61,,
2021,7,87555,362.76,,
2021,8,4692,26.17,,
2021,9,8847,50.67,,
2022,1,64033,196.34,,
2022,2,168757,564.72,,
2022,3,2118,8.08,,
2022,4,1460,5.08,,
2022,5,144369,631.1,,
2022,6,42459,174.3,,
2022,7,24066,137.51,,
2022,8,7786,44.53,,
2022,9,34487,159.62,,
2023,1,868,3,,
2023,2,213022,685.16,,
2023,3,1780,6.5,,
2023,4,7452,42.64,,
2023,5,161899,674.2,,
2023,6,44235,236.82,,
2023,7,31752,206.88,,
2023,8,2102,16.33,,
2023,9,73271,507.94,,
